Shipment,Induct Station,Destination
FKMP0001,1,Ahmedabad
FKMP0002,1,Pune
FKMP0006,1,Mumbai
FKMP0011,1,Delhi
FKMP0013,1,Jaipur
FKMP0014,1,Mumbai
FKMP0016,1,Kolkata
FKMP0017,1,Bengaluru
FKMP0020,1,Kolkata
FKMP0021,1,Delhi
FKMP0022,1,Jaipur
FKMP0024,1,Delhi
FKMP0028,1,Chennai
FKMP0035,1,Hyderabad
FKMP0036,1,Delhi
FKMP0039,1,Kolkata
FKMP0040,1,Kolkata
FKMP0041,1,Kolkata
FKMP0043,1,Delhi
FKMP0047,1,Hyderabad
FKMP0048,1,Bengaluru
FKMP0050,1,Jaipur
FKMP0051,1,Delhi
FKMP0053,1,Ahmedabad
FKMP0054,1,Delhi
FKMP0058,1,Chennai
FKMP0061,1,Jaipur
FKMP0062,1,Pune
FKMP0063,1,Chennai
FKMP0064,1,Delhi
FKMP0068,1,Mumbai
FKMP0076,1,Jaipur
FKMP0078,1,Hyderabad
FKMP0079,1,Kolkata
FKMP0083,1,Jaipur
FKMP0090,1,Chennai
FKMP0091,1,Chennai
FKMP0094,1,Delhi
FKMP0096,1,Kolkata
FKMP0097,1,Pune
FKMP0098,1,Ahmedabad
FKMP0099,1,Delhi
FKMP0100,1,Kolkata
FKMP0101,1,Ahmedabad
FKMP0102,1,Jaipur
FKMP0106,1,Jaipur
FKMP0108,1,Jaipur
FKMP0110,1,Delhi
FKMP0111,1,Kolkata
FKMP0112,1,Ahmedabad
FKMP0113,1,Bengaluru
FKMP0116,1,Mumbai
FKMP0119,1,Chennai
FKMP0120,1,Bengaluru
FKMP0121,1,Bengaluru
FKMP0122,1,Delhi
FKMP0123,1,Kolkata
FKMP0127,1,Ahmedabad
FKMP0129,1,Hyderabad
FKMP0130,1,Delhi
FKMP0131,1,Mumbai
FKMP0135,1,Hyderabad
FKMP0136,1,Bengaluru
FKMP0137,1,Bengaluru
FKMP0138,1,Pune
FKMP0140,1,Mumbai
FKMP0141,1,Hyderabad
FKMP0142,1,Chennai
FKMP0144,1,Delhi
FKMP0147,1,Delhi
FKMP0149,1,Delhi
FKMP0151,1,Pune
FKMP0152,1,Hyderabad
FKMP0154,1,Kolkata
FKMP0158,1,Delhi
FKMP0159,1,Kolkata
FKMP0162,1,Hyderabad
FKMP0164,1,Chennai
FKMP0165,1,Jaipur
FKMP0166,1,Hyderabad
FKMP0167,1,Pune
FKMP0168,1,Bengaluru
FKMP0169,1,Pune
FKMP0170,1,Hyderabad
FKMP0176,1,Chennai
FKMP0182,1,Ahmedabad
FKMP0183,1,Ahmedabad
FKMP0185,1,Kolkata
FKMP0186,1,Kolkata
FKMP0190,1,Delhi
FKMP0191,1,Mumbai
FKMP0193,1,Ahmedabad
FKMP0200,1,Pune
FKMP0205,1,Ahmedabad
FKMP0207,1,Jaipur
FKMP0212,1,Delhi
FKMP0214,1,Kolkata
FKMP0215,1,Jaipur
FKMP0217,1,Pune
FKMP0220,1,Kolkata
FKMP0225,1,Kolkata
FKMP0226,1,Mumbai
FKMP0227,1,Ahmedabad
FKMP0228,1,Kolkata
FKMP0232,1,Kolkata
FKMP0234,1,Hyderabad
FKMP0235,1,Delhi
FKMP0239,1,Mumbai
FKMP0241,1,Pune
FKMP0242,1,Bengaluru
FKMP0244,1,Mumbai
FKMP0245,1,Delhi
FKMP0246,1,Mumbai
FKMP0248,1,Chennai
FKMP0249,1,Ahmedabad
FKMP0250,1,Chennai
FKMP0252,1,Ahmedabad
FKMP0253,1,Bengaluru
FKMP0255,1,Ahmedabad
FKMP0257,1,Hyderabad
FKMP0260,1,Ahmedabad
FKMP0261,1,Chennai
FKMP0262,1,Delhi
FKMP0263,1,Chennai
FKMP0264,1,Pune
FKMP0265,1,Jaipur
FKMP0267,1,Bengaluru
FKMP0269,1,Ahmedabad
FKMP0270,1,Bengaluru
FKMP0271,1,Bengaluru
FKMP0273,1,Ahmedabad
FKMP0274,1,Mumbai
FKMP0278,1,Pune
FKMP0283,1,Chennai
FKMP0284,1,Chennai
FKMP0287,1,Bengaluru
FKMP0289,1,Bengaluru
FKMP0291,1,Kolkata
FKMP0292,1,Ahmedabad
FKMP0296,1,Delhi
FKMP0300,1,Kolkata
